V_ID,Town,Cluster_result,Cluster_name,QoL_Score,Marital status,Population Density,Natural Increase,Social Increase,Housing Price,Income,edu1,edu2,NO2,PM2.5,Hospital,Water,Green,Area,Metro in 300m,Multi Metro in 300m,Metro in 500m,Multi Metro in 500m,Primary School,High School,Gym,Fire station,Police station,Shelter
65000020-096,Sanchong District,2,Outskirt: Influx of New Residents,2.22,0.119709686,0.159006431,0.182525911,0.107962268,0.270662095,0.059169104,0.115796109,0.503524133,0.128320883,0.426814194,0,0,0,0.000630358,0,0,0,0,0,0,0,0,1,0
65000020-104,Sanchong District,2,Outskirt: Influx of New Residents,4.23,0.155080145,0.157261717,0.161367884,0.110139186,0.270662095,0.080288489,0.147665325,0.539987793,0.100692614,0.426814194,0,0,0,0.000426424,0,0,0,0,0,1,0,0,1,0
65000020-109,Sanchong District,2,Outskirt: Influx of New Residents,47.72,0.066469856,0.022508743,0.149359022,0.116866268,0.270662095,0.030703224,0.063587062,0.43460162,0.094125604,0.681706652,0.142857143,0,1,0.001859549,1,0,1,0,0,0,0,0,1,0.003875969
65000020-119,Sanchong District,2,Outskirt: Influx of New Residents,0.81,0.124458976,0.274190276,0.158042115,0.110788676,0.270662095,0.041475624,0.116372313,0.570354061,0.128320883,0.426814194,0,0,0,0.000234697,0,0,0,0,0,0,0,0,1,0
65000020-032,Sanchong District,2,Outskirt: Influx of New Residents,45.5,0.063619872,0.248577686,0.151139099,0.111109926,0.270662095,0.022314024,0.061082639,0.471802896,0.106880049,0.381340733,0.285714286,0,0,0.000277749,1,0,1,1,0,0,0,0,1,0
65000020-097,Sanchong District,2,Outskirt: Influx of New Residents,1.28,0.099503685,0.319990429,0.1738904,0.108979747,0.270662095,0.03039338,0.090662372,0.556783659,0.128320883,0.426814194,0,0,0,0.000323774,0,0,0,0,0,0,0,0,1,0
65000020-034,Sanchong District,2,Outskirt: Influx of New Residents,16.2,0.03954303,0.200655026,0.164613214,0.114124162,0.270662095,0.017459324,0.041196506,0.428578066,0.106880049,0.381340733,0.285714286,0,0,0.000266867,0,0,1,0,0,0,0,0,1,0
65000020-118,Sanchong District,2,Outskirt: Influx of New Residents,39.99,0.134311261,0.250504413,0.183906703,0.115948896,0.270662095,0.055228288,0.126203746,0.539647937,0.094125604,0.75254835,0,0,0,0.000518374,1,0,1,1,0,1,0,0,1,0
65000020-065,Sanchong District,2,Outskirt: Influx of New Residents,55.04,0.038907719,0.291768105,0.1738904,0.11134935,0.270662095,0.014904591,0.038340812,0.42138944,0.128320883,0.049890552,0.142857143,0,0,0.000183704,1,0,1,0,0,1,0,0,1,0
65000020-074,Sanchong District,2,Outskirt: Influx of New Residents,53.97,0.066343015,0.301665967,0.158042115,0.11102983,0.270662095,0.031190125,0.065514707,0.43330765,0.128320883,0.049890552,0.285714286,0,0,0.000222895,1,0,1,0,0,1,0,0,1,0
