縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,不含車位_各建物型態合計棟數,不含車位_公寓棟數,不含車位_透天厝棟數,不含車位_店面(店舖)棟數,不含車位_辦公商業大樓棟數,不含車位_住宅大樓棟數,不含車位_華廈棟數,不含車位_套房棟數,不含車位_工廠棟數,不含車位_廠辦棟數,不含車位_農舍棟數,不含車位_倉庫棟數,不含車位_其他建物型態棟數,不含車位_各建物型態合計面積,不含車位_公寓面積,不含車位_透天厝面積,不含車位_店面(店舖)面積,不含車位_辦公商業大樓面積,不含車位_住宅大樓面積,不含車位_華廈面積,不含車位_套房面積,不含車位_工廠面積,不含車位_廠辦面積,不含車位_農舍面積,不含車位_倉庫面積,不含車位_其他建物型態面積,不含車位_各建物型態整體中位數房價,不含車位_公寓中位數房價,不含車位_透天厝中位數房價,不含車位_店面(店舖)中位數房價,不含車位_辦公商業大樓中位數房價,不含車位_住宅大樓中位數房價,不含車位_華廈中位數房價,不含車位_套房中位數房價,不含車位_工廠中位數房價,不含車位_廠辦中位數房價,不含車位_農舍中位數房價,不含車位_倉庫中位數房價,不含車位_其他建物型態中位數房價,含車位_各建物型態合計棟數,含車位_公寓棟數,含車位_透天厝棟數,含車位_店面(店舖)棟數,含車位_辦公商業大樓棟數,含車位_住宅大樓棟數,含車位_華廈棟數,含車位_套房棟數,含車位_工廠棟數,含車位_廠辦棟數,含車位_農舍棟數,含車位_倉庫棟數,含車位_其他建物型態棟數,含車位_各建物型態合計面積,含車位_公寓面積,含車位_透天厝面積,含車位_店面(店舖)面積,含車位_辦公商業大樓面積,含車位_住宅大樓面積,含車位_華廈面積,含車位_套房面積,含車位_工廠面積,含車位_廠辦面積,含車位_農舍面積,含車位_倉庫面積,含車位_其他建物型態面積,含車位_各建物型態整體中位數房價,含車位_公寓中位數房價,含車位_透天厝中位數房價,含車位_店面(店舖)中位數房價,含車位_辦公商業大樓中位數房價,含車位_住宅大樓中位數房價,含車位_華廈中位數房價,含車位_套房中位數房價,含車位_工廠中位數房價,含車位_廠辦中位數房價,含車位_農舍中位數房價,含車位_倉庫中位數房價,含車位_其他建物型態中位數房價,資料時間
67000,臺南市,67000150,七股區,36,,31,,,,,,,,1,2,2,2279.23,,1779.57,,,,,,,,42.65,311.38,145.63,3075000,,3480000,,,,,,,,2264200,200000,7639271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"107Y"
67000,臺南市,67000160,將軍區,51,,35,,,,,1,,,1,,14,2349.20,,1713.31,,,,,11.86,,,74.13,,549.91,2300000,,6000000,,,,,500000,,,5976400,,1117857,34,,34,,,,,,,,,,,1749.35,,1749.35,,,,,,,,,,,5490000,,5490000,,,,,,,,,,,"107Y"
67000,臺南市,67000170,北門區,1,,,,,,,,,,1,,,65.78,,,,,,,,,,65.78,,,5210000,,,,,,,,,,5210000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"107Y"
67000,臺南市,67000180,新化區,152,,121,3,,5,15,,,,3,1,4,6473.01,,5334.28,171.51,,185.12,527.06,,,,176.55,77.80,0.69,4500000,,5000000,5500000,,2500000,2700000,,,,12305000,174200,23273,15,,,,,2,13,,,,,,,629.79,,,,,90.18,539.61,,,,,,,3500000,,,,,3575000,3400000,,,,,,,"107Y"
67000,臺南市,67000190,善化區,444,5,258,11,,112,43,,,6,2,,7,22426.58,137.85,14098.64,924.48,,3471.89,1219.03,,,2153.75,101.38,,319.55,7075000,3300000,8775000,14200000,,4725000,3500000,,,71123063,9725000,,23818000,101,,57,,,29,15,,,,,,,5836.96,,3932.45,,,1327.76,576.76,,,,,,,13880000,,14100000,,,6200000,4300000,,,,,,,"107Y"
67000,臺南市,67000200,新市區,250,2,174,4,,7,49,4,1,4,3,,2,13494.17,46.18,10299.83,280.53,,226.72,1257.39,37.02,76.49,856.50,113.04,,300.46,6890000,3925000,8000000,15450000,,3680000,3750000,800000,16000000,34250000,14100000,,15300000,45,1,1,,,18,24,,,,,,1,1608.37,25.70,47.92,,,565.10,937.01,,,,,,32.64,3800000,3950000,6200000,,,3815000,3750000,,,,,,5200000,"107Y"
67000,臺南市,67000210,安定區,166,,141,,,,12,,6,6,1,,,22176.96,,7483.61,,,,338.51,,809.15,13509.00,36.69,,,6650000,,6700000,,,,3510000,,23750000,163333333,8900000,,,12,,,,,,12,,,,,,,395.12,,,,,,395.12,,,,,,,4420000,,,,,,4420000,,,,,,,"107Y"
67000,臺南市,67000220,山上區,37,,36,,,,,,1,,,,,2429.94,,1821.55,,,,,,608.39,,,,,6300000,,6300000,,,,,,70000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"107Y"
67000,臺南市,67000230,玉井區,46,,36,1,,,2,,,,7,,,2130.53,,1781.02,34.79,,,57.12,,,,257.60,,,3200000,,3200000,23646560,,,1280000,,,,3380000,,,9,,9,,,,,,,,,,,551.71,,551.71,,,,,,,,,,,7250000,,7250000,,,,,,,,,,,"107Y"
67000,臺南市,67000240,楠西區,25,,21,,,,4,,,,,,,967.25,,908.55,,,,58.70,,,,,,,2500000,,5580000,,,,2125000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"107Y"
