,名稱,lon,lat
212,臺北市政府警察局中山分局中山一派出所,121.5214283,25.0499973
213,臺北市政府警察局中山分局圓山派出所,121.5237676,25.0728055
214,臺北市政府警察局中山分局建國派出所,121.53606,25.0679903
215,臺北市政府警察局中山分局長春路派出所,121.5354548,25.0546211
216,臺北市政府警察局中山分局大直派出所,121.5441095,25.0795462
217,臺北市政府警察局中正第一分局,121.5173784,25.0451004
218,臺北市政府警察局中正第二分局,121.5139746,25.03204109999999
219,臺北市政府警察局中正第二分局思源街派出所,121.5320902,25.0151047
220,內政部警政署鐵路警察局臺北分局臺北分駐所,121.5163623,25.0478356
221,臺北市警察局中正第一分局博愛路派出所,121.5099957,25.0442525
222,臺北市警察局中正第一分局忠孝西路派出所,121.5174156,25.04521
223,內政部警政署保安警察第六總隊,121.5156639,25.032748
224,臺北市政府警察局,121.5097688,25.0439111
225,臺北市政府警察局交通警察大隊中正第二分隊,121.5123397,25.0245114
226,大同分局,121.5154087,25.0594539
227,臺北市政府警察局交通警察大隊大同分隊,121.5156911,25.066157
228,臺北市政府警察局大同分局重慶北路派出所,121.5135568,25.0753507
229,臺北市政府警察局大同分局建成派出所,121.5173762,25.052772
230,臺北市政府警察局捷運警察隊,121.5188276,25.0492786
231,臺北市政府警察局大同分局民生西路派出所,121.5120366,25.0593994
232,臺北市政府警察局大同分局勤務指揮中心,121.5153343,25.0594347
233,臺北市政府警察局大同分局民族路派出所,121.5135566,25.0688289
234,臺北市政府警察局寧夏路派出所,121.5150691,25.0593225
235,臺北市政府警察局大同分局延平派出所,121.5117548,25.0521577
236,臺北市政府警察局萬華分局,121.499601,25.0386469
237,臺北市政府警察局萬華分局華江派出所,121.4931873,25.0342793
238,臺北市政府警察局交通警察大隊萬華分隊,121.4954551,25.0368895
239,台北市政府警察局萬華分局武昌義警民防協勤,121.502625,25.045881
240,台北市政府警察局萬華分局民防總隊桂林大隊,121.4938917,25.035128
241,臺北市政府警察局萬華分局青年路派出所,121.5021838,25.0219233
242,臺北市政府警察局萬華分局康定路派出所,121.5004896,25.0350945
243,台北市政府警察局萬華分局江民防中隊,121.4907941,25.0313178
244,臺北市政府警察局萬華分局西門町派出所,121.5027985,25.0450243
245,臺北市政府警察局交通警察大隊文山第二分隊,121.5468931,25.0000581
246,臺北市政府警察局文山第二分局,121.5410067,24.9927459
247,臺北市政府警察局文山第一分局木新派出所,121.5673037,24.9824335
248,臺北市政府警察局文山第一分局萬芳派出所,121.5669186,25.0022785
249,臺北市政府警察局文山第二分局興隆派出所,121.5511916,25.0014882
250,臺北市政府警察局文山第一分局復興派出所,121.5470169,24.9867694
251,國道公路警察局第九公路警察大隊木柵分隊,121.5961071,24.9988168
252,臺北市政府警察局文山第一分局木柵派出所,121.5635456,24.9887889
253,臺北市政府警察局文山第二分局警備隊,121.5410067,24.9927459
254,臺北市政府警察局南港分局,121.5949244,25.0552468
255,臺北市政府警察局南港分局南港派出所,121.6146734,25.0610152
256,臺北市政府警察局南港分局同德派出所,121.5856734,25.0461149
257,臺北市政府警察局南港分局舊莊派出所,121.6225933,25.0385057
258,臺北市政府警察局南港分局玉成派出所,121.5947237,25.0552696
259,臺北市政府警察局內湖分局,121.5895909,25.0692453
260,臺北市政府警察局內湖分局內湖派出所,121.590144,25.0820746
261,臺北市政府警察局內湖分局文德派出所,121.5789442,25.0666053
262,臺北市政府警察局內湖分局大湖派出所,121.6013214,25.0840919
263,台北市政府警察局交通警察大隊內湖分隊,121.6129024,25.0674746
264,臺北市政府警察局內湖分局康寧派出所,121.5974888,25.081218
265,臺北市政府警察局內湖分局西湖派出所,121.5691353,25.0791851
266,臺北市政府警察局內湖分局港墘派出所,121.5768044,25.0788262
267,臺北市政府警察局內湖分局潭美派出所,121.581645,25.055262
268,臺北市政府警察局內湖分局康樂派出所,121.6183878,25.0704268
269,臺北市政府警察局士林分局文林派出所,121.5266752,25.0906919
270,臺北市政府警察局士林分局蘭雅派出所,121.5247196,25.1066109
271,臺北市政府警察局士林分局平等駐在所,121.5764838,25.1311549
272,臺北市政府警察局士林分局社子派出所,121.5053564,25.0895029
273,臺北市政府警察局士林分局溪山派出所,121.5845366,25.1197302
274,臺北市政府警察局士林分局後港派出所,121.5180405,25.0873307
275,臺北市政府警察局士林分局翠山派出所,121.5602703,25.1081269
276,內政部警政署保安警察第六總隊第二大隊,121.5349862,25.0961776
277,臺北市政府警察局士林分局山仔后派出所,121.5463677,25.1372836
278,臺北市政府警察局交通警察大隊北投分隊,121.5125754,25.1099412
279,臺北市政府警察局北投分局大屯派出所,121.4931884,25.1455856
280,台北市政府警察局交通警察大隊北投分隊,121.5124904,25.1099462
281,臺北市政府警察局北投分局暨長安派出所,121.5013164,25.1333284
282,臺北市政府警察局北投分局永明派出所,121.5169494,25.1179342
283,臺北市政府警察局北投分局關渡派出所,121.4659472,25.1229971
284,臺北市政府警察局北投分局公園派出所,121.548601,25.1488896
285,臺北市政府警察局北投分局石牌派出所,121.5125861,25.1099503
286,關渡分駐所,121.4659472,25.1229971
