Region,County Name,Township Name,Village Name,c_Population,c_Sex Ratio,c_Population Density,c_Dependency Ratio,c_Child Dependency Ratio,c_Elderly Dependency Ratio,c_Aging Index,c_Population aged 0-14,c_Population aged 15-64,c_Population aged 65 and above,j_15 with Doctorate Degree,j_15 with Master Degree,j_15 with University Education,j_15 with Vocational Education,j_15 with Senior High School Education,j_15 with Junior High School Education,j_15 with Elementary School Education,j_15 with Self-Taught Education,j_15 who are Illiterate,c_15 who are Unmarried,c_15 who are Married,c_15 who are Divorced,c_Natural Increase,c_Social Increase,c_Total Number of Households,ji_Total Comprehensive Income,ji_Average Comprehensive Income,ji_Median Comprehensive Income,ji_Comprehensive Income Q1,ji_Comprehensive Income Q3,ji_Comprehensive Income std,ji_Total Amount of Various Types of Income,ji_Income from Wages and Salaries,Median Housing Price with parking space,Median Housing Price no parking space,NO2,PM2.5,water,108green,m108300,m108300s,m108500,m108500s,fire,police,primary,secondary,gym,area,multiHospital,Shelter
臺北市北投區桃源里,臺北市,北投區,桃源里,6145,96.45,4915.33,33.79,13.85,19.94,144.03,636,4593,916,52,443,1703,705,1453,553,555,13,32,1845.0,2910.0,376.0,2,-147,2350,1582595.0,774.0,467.0,221.0,944.0,1026.12,1583183.0,1246674.0,20975000.0,12600000.0,34.0,70.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1186225.0,0.0,41.0
臺北市北投區榮光里,臺北市,北投區,榮光里,8032,89.48,55252.5,54.31,30.16,24.15,80.06,1570,5205,1257,53,610,2107,991,1595,504,566,13,23,1929.0,3587.0,469.0,16,-88,2835,1993290.0,844.0,514.0,237.0,1070.0,1053.99,1993642.0,1517302.0,20975000.0,12600000.0,35.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,145825.0,0.0,80.0
臺北市北投區榮華里,臺北市,北投區,榮華里,7620,87.73,20020.91,46.76,18.47,28.29,153.18,959,5192,1469,151,922,2768,815,1296,333,351,6,19,2099.0,3731.0,407.0,19,-135,2961,3728394.0,1376.0,695.0,285.0,1490.0,5130.18,4382140.0,2654429.0,20975000.0,12600000.0,35.0,11.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,381163.0,1.0,129.0
臺北市北投區永和里,臺北市,北投區,永和里,9494,89.92,5836.99,45.04,19.91,25.13,126.25,1303,6546,1645,156,967,3190,1089,1805,445,504,6,29,2575.0,4459.0,660.0,16,-84,3742,3850748.0,1202.0,617.0,258.0,1398.0,2038.01,4425759.0,2548561.0,20975000.0,12600000.0,34.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1651113.0,0.0,92.0
臺北市北投區永明里,臺北市,北投區,永明里,5316,87.98,43889.63,52.45,28.94,23.52,81.27,1009,3487,820,85,512,1593,620,924,243,305,8,17,1327.0,2417.0,268.0,1,-28,1912,1719816.0,1056.0,620.0,288.0,1335.0,1276.08,1812898.0,1253137.0,20975000.0,12600000.0,35.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,113654.0,0.0,59.0
臺北市北投區永欣里,臺北市,北投區,永欣里,8460,84.96,10780.1,49.52,23.84,25.68,107.71,1349,5658,1453,378,1045,3087,788,1229,276,287,7,14,2149.0,4077.0,430.0,25,-18,3555,5118078.0,1674.0,864.0,332.0,2070.0,2322.98,5734922.0,3886198.0,20975000.0,12600000.0,34.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,719011.0,0.0,114.0
臺北市北投區泉源里,臺北市,北投區,泉源里,2425,108.33,475.91,38.57,11.14,27.43,246.15,195,1750,480,16,111,593,221,612,333,304,13,27,767.0,1090.0,190.0,-8,-42,864,573647.0,849.0,409.0,195.0,756.0,3937.12,573708.0,364169.0,20975000.0,12600000.0,38.0,23.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5027305.0,1.0,10.0
臺北市北投區洲美里,臺北市,北投區,洲美里,2314,101.92,1370.88,45.17,25.09,20.08,80.0,400,1594,320,13,105,515,237,562,205,261,3,13,596.0,1058.0,129.0,-6,268,843,452435.0,652.0,415.0,210.0,797.0,746.01,452435.0,316899.0,20975000.0,12600000.0,35.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1762322.0,1.0,8.0
臺北市北投區清江里,臺北市,北投區,清江里,9557,104.6,40303.98,37.31,12.6,24.71,196.12,877,6960,1720,49,549,2419,1100,2463,984,1045,12,59,3097.0,3879.0,1040.0,-12,-85,4305,2087416.0,776.0,441.0,204.0,897.0,1801.72,2105288.0,1560495.0,20975000.0,12600000.0,34.0,25.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,224780.0,1.0,106.0
臺北市北投區湖山里,臺北市,北投區,湖山里,1660,108.81,445.53,49.28,10.88,38.4,352.89,121,1112,427,15,84,390,191,421,168,238,5,27,451.0,785.0,149.0,-1,-24,701,489188.0,1013.0,498.0,193.0,1051.0,2578.41,577977.0,282356.0,20975000.0,12600000.0,36.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3754045.0,0.0,10.0
