index,County Name,Township Name,Village Name,QoL,Child Dependency Ratio,Elderly Dependency Ratio,Social Increase,Average Income,Metro 300 Multi,Metro 500 Multi,V_ID
新北市三重區長福里,新北市,三重區,長福里,0.6640410744585655,0.1,0.2,0.4,0.2,0.0,0.0,65000020-064
新北市三重區開元里,新北市,三重區,開元里,3.808556093715105,0.1,0.3,0.4,0.3,0.0,0.0,65000020-059
新北市三重區雙園里,新北市,三重區,雙園里,2.8876732111468826,0.2,0.3,0.3,0.2,0.0,0.0,65000020-053
新北市三重區頂崁里,新北市,三重區,頂崁里,1.6382055462310974,0.3,0.1,0.5,0.3,0.0,0.0,65000020-003
新北市三重區順德里,新北市,三重區,順德里,0.2021932775465788,0.2,0.3,0.4,0.1,0.0,0.0,65000020-079
新北市三重區龍濱里,新北市,三重區,龍濱里,0.9279204249861783,0.2,0.2,0.3,0.2,0.0,0.0,65000020-068
新北市三重區龍門里,新北市,三重區,龍門里,2.5415178989433773,0.2,0.3,0.4,0.2,0.0,0.0,65000020-069
新北市中和區中原里,新北市,中和區,中原里,5.491553423745409,0.3,0.1,0.5,0.5,0.0,1.0,65000030-001
新北市中和區中安里,新北市,中和區,中安里,4.68374121578533,0.1,0.5,0.5,0.4,0.0,0.0,65000030-023
新北市中和區中山里,新北市,中和區,中山里,2.0430867664698806,0.4,0.3,0.4,0.3,0.0,0.0,65000030-083
新北市中和區中正里,新北市,中和區,中正里,1.176634797019726,0.3,0.3,0.2,0.1,0.0,0.0,65000030-005
新北市中和區中興里,新北市,中和區,中興里,1.1108507855119707,0.5,0.1,0.1,0.4,0.0,0.0,65000030-081
新北市中和區仁和里,新北市,中和區,仁和里,2.6185937210060266,0.3,0.3,0.1,0.2,0.0,0.0,65000030-004
新北市中和區佳和里,新北市,中和區,佳和里,2.400815538599062,0.2,0.4,0.5,0.4,0.0,0.0,65000030-019
新北市中和區信和里,新北市,中和區,信和里,0.8100655720692185,0.3,0.3,0.3,0.2,0.0,0.0,65000030-003
新北市中和區內南里,新北市,中和區,內南里,-0.4993894196873718,0.2,0.2,0.3,0.2,0.0,0.0,65000030-042
新北市中和區冠穗里,新北市,中和區,冠穗里,0.8516884904987387,0.1,0.3,0.2,0.3,0.0,0.0,65000030-090
新北市中和區力行里,新北市,中和區,力行里,2.6477596577569797,0.3,0.2,0.4,0.4,0.0,0.0,65000030-009
新北市中和區南山里,新北市,中和區,南山里,2.755587594902214,0.3,0.3,0.2,0.4,0.0,0.0,65000030-026
新北市中和區吉興里,新北市,中和區,吉興里,3.3762325081216034,0.3,0.2,0.3,0.4,0.0,1.0,65000030-082
新北市中和區和興里,新北市,中和區,和興里,1.5440370777777748,0.2,0.3,0.4,0.4,0.0,0.0,65000030-046
新北市中和區員富里,新北市,中和區,員富里,2.893549958525697,0.2,0.1,0.5,0.3,0.0,0.0,65000030-088
新北市中和區員山里,新北市,中和區,員山里,1.6567504875759904,0.5,0.1,0.1,0.4,0.0,0.0,65000030-057
新北市中和區嘉慶里,新北市,中和區,嘉慶里,1.5063278056536302,0.2,0.2,0.3,0.2,0.0,0.0,65000030-089
新北市中和區嘉新里,新北市,中和區,嘉新里,1.597880858162384,0.2,0.2,0.3,0.2,0.0,0.0,65000030-060
新北市中和區嘉穗里,新北市,中和區,嘉穗里,2.117885742276971,0.3,0.2,0.4,0.2,0.0,0.0,65000030-058
新北市中和區國光里,新北市,中和區,國光里,0.7864642333559221,0.2,0.2,0.2,0.2,0.0,0.0,65000030-069
新北市中和區國華里,新北市,中和區,國華里,0.9818934178790688,0.3,0.2,0.4,0.3,0.0,0.0,65000030-091
新北市中和區壽南里,新北市,中和區,壽南里,3.304450101828966,0.3,0.4,0.5,0.2,0.0,0.0,65000030-043
新北市中和區壽德里,新北市,中和區,壽德里,2.7583357041875702,0.4,0.2,0.4,0.3,0.0,0.0,65000030-070
新北市中和區外南里,新北市,中和區,外南里,0.7520934856038124,0.1,0.4,0.5,0.3,0.0,1.0,65000030-044
新北市中和區安和里,新北市,中和區,安和里,0.23676279994998567,0.2,0.3,0.4,0.4,0.0,0.0,65000030-021
新北市中和區安平里,新北市,中和區,安平里,2.19145832463023,0.2,0.4,0.1,0.5,0.0,0.0,65000030-022
新北市中和區安樂里,新北市,中和區,安樂里,3.7314477183202848,0.1,0.4,0.4,0.4,0.0,0.0,65000030-020
新北市中和區安穗里,新北市,中和區,安穗里,0.22359010426322382,0.3,0.2,0.5,0.3,0.0,0.0,65000030-062
新北市中和區安順里,新北市,中和區,安順里,0.907527345994765,0.1,0.4,0.1,0.4,0.0,1.0,65000030-075
新北市中和區宜安里,新北市,中和區,宜安里,0.6221104832445326,0.1,0.4,0.4,0.3,0.0,0.0,65000030-074
新北市中和區崇南里,新北市,中和區,崇南里,4.550971875482116,0.1,0.2,0.3,0.3,0.0,1.0,65000030-039
