County Name,TOWENG,VILENG,QoL_PR,Child Dependency Ratio,Elderly Dependency Ratio,Social Increase,Average Income,Metro 300 Multi,Metro 500 Multi,V_ID
New Taipei City,Sanchong District,Yongde Vil.,32.33,0.4,0.2,0.2,0.1,0,0,65000020-087
New Taipei City,Sanchong District,Yongchun Vil.,32.06,0.4,0.2,0.3,0.2,0,0,65000020-025
New Taipei City,Sanchong District,Yongqing Vil.,26.48,0.5,0.2,0.2,0.2,0,1,65000020-090
New Taipei City,Sanchong District,Yonghui Vil.,12.43,0.1,0.2,0.2,0.1,0,0,65000020-092
New Taipei City,Sanchong District,Yongfa Vil.,3.56,0.4,0.1,0.3,0.3,0,0,65000020-113
New Taipei City,Sanchong District,Yongsheng Vil.,47.92,0.5,0.3,0.2,0.2,0,1,65000020-088
New Taipei City,Sanchong District,Yongfu Vil.,29.03,0.4,0.2,0.1,0.2,0,1,65000020-089
New Taipei City,Sanchong District,Yongxing Vil.,56.65,0.2,0.3,0.5,0.3,0,0,65000020-040
New Taipei City,Sanchong District,Yongfeng Vil.,4.77,0.5,0.1,0.2,0.2,0,0,65000020-115
New Taipei City,Sanchong District,Yongshun Vil.,3.23,0.4,0.1,0.2,0.1,0,0,65000020-114
New Taipei City,Sanchong District,Qinghe Vil.,47.51,0.1,0.2,0.5,0.3,0,0,65000020-039
New Taipei City,Sanchong District,Ximei Vil.,7.06,0.3,0.1,0.5,0.3,0,0,65000020-093
New Taipei City,Sanchong District,Ruide Vil.,35.89,0.3,0.3,0.3,0.1,0,0,65000020-081
New Taipei City,Sanchong District,Tianzhong Vil.,1.48,0.5,0.2,0.2,0.3,0,0,65000020-017
New Taipei City,Sanchong District,Tian'an Vil.,1.55,0.2,0.2,0.2,0.2,0,0,65000020-018
New Taipei City,Sanchong District,Tianxin Vil.,9.01,0.1,0.3,0.4,0.2,0,0,65000020-015
New Taipei City,Sanchong District,Bihua Vil.,34.21,0.4,0.1,0.5,0.5,0,0,65000020-108
New Taipei City,Sanchong District,Fuli Vil.,57.06,0.1,0.1,0.2,0.3,0,0,65000020-038
New Taipei City,Sanchong District,Fu'an Vil.,36.63,0.2,0.2,0.3,0.2,0,0,65000020-073
New Taipei City,Sanchong District,Fude Vil.,30.91,0.3,0.2,0.4,0.3,0,0,65000020-111
New Taipei City,Sanchong District,Fuxing Vil.,34.95,0.1,0.2,0.5,0.3,0,0,65000020-037
New Taipei City,Sanchong District,Fule Vil.,35.15,0.4,0.3,0.3,0.2,0,1,65000020-117
New Taipei City,Sanchong District,Fumin Vil.,4.5,0.4,0.2,0.2,0.2,0,0,65000020-009
New Taipei City,Sanchong District,Futian Vil.,3.09,0.1,0.2,0.3,0.2,0,0,65000020-016
New Taipei City,Sanchong District,Fuzhi Vil.,29.64,0.4,0.2,0.3,0.3,0,0,65000020-008
New Taipei City,Sanchong District,Fulong Vil.,29.5,0.5,0.1,0.3,0.3,0,0,65000020-094
New Taipei City,Sanchong District,Xiujiang Vil.,52.49,0.2,0.3,0.3,0.1,0,0,65000020-070
New Taipei City,Sanchong District,Lide Vil.,4.57,0.2,0.2,0.2,0.2,0,0,65000020-116
New Taipei City,Sanchong District,Weide Vil.,16.06,0.4,0.2,0.5,0.2,0,0,65000020-084
New Taipei City,Sanchong District,Ziqiang Vil.,42.07,0.2,0.3,0.4,0.1,0,0,65000020-050
New Taipei City,Sanchong District,Cailiao Vil.,40.39,0.4,0.2,0.4,0.2,0,0,65000020-024
New Taipei City,Sanchong District,Wanshou Vil.,25.67,0.1,0.2,0.4,0.2,0,0,65000020-066
New Taipei City,Sanchong District,Guwang Vil.,29.7,0.1,0.4,0.5,0.2,0,0,65000020-004
New Taipei City,Sanchong District,Guotian Vil.,0.94,0.1,0.2,0.5,0.3,0,0,65000020-010
New Taipei City,Sanchong District,Chongxin Vil.,51.75,0.2,0.5,0.5,0.2,0,1,65000020-046
New Taipei City,Sanchong District,Chongming Vil.,60.42,0.5,0.2,0.5,0.4,0,0,65000020-012
New Taipei City,Sanchong District,Chongyang Vil.,28.9,0.2,0.2,0.4,0.2,0,0,65000020-044
New Taipei City,Sanchong District,Jin'an Vil.,59.54,0.1,0.4,0.3,0.1,0,1,65000020-055
New Taipei City,Sanchong District,Jinjiang Vil.,7.26,0.1,0.2,0.3,0.1,0,0,65000020-067
New Taipei City,Sanchong District,Jintian Vil.,7.33,0.3,0.3,0.5,0.3,0,0,65000020-011
New Taipei City,Sanchong District,Jintong Vil.,25.54,0.1,0.5,0.4,0.1,0,0,65000020-054
New Taipei City,Sanchong District,Changyuan Vil.,33.74,0.1,0.2,0.3,0.1,0,1,65000020-061
New Taipei City,Sanchong District,Chang'an Vil.,59.74,0.2,0.3,0.2,0.2,0,1,65000020-056
New Taipei City,Sanchong District,Changjiang Vil.,26.21,0.1,0.3,0.3,0.3,0,0,65000020-062
New Taipei City,Sanchong District,Changtai Vil.,56.05,0.1,0.4,0.3,0.1,0,1,65000020-063
New Taipei City,Sanchong District,Changsheng Vil.,68.75,0.1,0.3,0.4,0.2,0,1,65000020-058
New Taipei City,Sanchong District,Changfu Vil.,12.77,0.1,0.2,0.4,0.2,0,0,65000020-064
New Taipei City,Sanchong District,Kaiyuan Vil.,68.21,0.1,0.3,0.4,0.3,0,0,65000020-059
New Taipei City,Sanchong District,Shuangyuan Vil.,54.17,0.2,0.3,0.3,0.2,0,0,65000020-053
New Taipei City,Sanchong District,Dingkan Vil.,27.82,0.3,0.1,0.5,0.3,0,0,65000020-003
New Taipei City,Sanchong District,Shunde Vil.,7.53,0.2,0.3,0.4,0.1,0,0,65000020-079
New Taipei City,Sanchong District,Longbin Vil.,16.47,0.2,0.2,0.3,0.2,0,0,65000020-068
New Taipei City,Sanchong District,Longmen Vil.,46.51,0.2,0.3,0.4,0.2,0,0,65000020-069
New Taipei City,Zhonghe District,Zhongyuan Vil.,88.1,0.3,0.1,0.5,0.5,0,1,65000030-001
New Taipei City,Zhonghe District,Zhong'an Vil.,80.78,0.1,0.5,0.5,0.4,0,0,65000030-023
New Taipei City,Zhonghe District,Zhongshan Vil.,35.28,0.4,0.3,0.4,0.3,0,0,65000030-083
New Taipei City,Zhonghe District,Zhongzheng Vil.,20.16,0.3,0.3,0.2,0.1,0,0,65000030-005
New Taipei City,Zhonghe District,Zhongxing Vil.,19.09,0.5,0.1,0.1,0.4,0,0,65000030-081
New Taipei City,Zhonghe District,Renhe Vil.,48.66,0.3,0.3,0.1,0.2,0,0,65000030-004
New Taipei City,Zhonghe District,Jiahe Vil.,43.41,0.2,0.4,0.5,0.4,0,0,65000030-019
New Taipei City,Zhonghe District,Xinhe Vil.,14.65,0.3,0.3,0.3,0.2,0,0,65000030-003
New Taipei City,Zhonghe District,Neinan Vil.,3.63,0.2,0.2,0.3,0.2,0,0,65000030-042
New Taipei City,Zhonghe District,Guansui Vil.,15.12,0.1,0.3,0.2,0.3,0,0,65000030-090
New Taipei City,Zhonghe District,Lixing Vil.,49.8,0.3,0.2,0.4,0.4,0,0,65000030-009
New Taipei City,Zhonghe District,Nanshan Vil.,51.81,0.3,0.3,0.2,0.4,0,0,65000030-026
New Taipei City,Zhonghe District,Jixing Vil.,61.76,0.3,0.2,0.3,0.4,0,1,65000030-082
New Taipei City,Zhonghe District,Hexing Vil.,26.08,0.2,0.3,0.4,0.4,0,0,65000030-046
New Taipei City,Zhonghe District,Yuanfu Vil.,54.37,0.2,0.1,0.5,0.3,0,0,65000030-088
New Taipei City,Zhonghe District,Yuanshan Vil.,28.02,0.5,0.1,0.1,0.4,0,0,65000030-057
New Taipei City,Zhonghe District,Jiaqing Vil.,25.4,0.2,0.2,0.3,0.2,0,0,65000030-089
New Taipei City,Zhonghe District,Jiaxin Vil.,27.08,0.2,0.2,0.3,0.2,0,0,65000030-060
New Taipei City,Zhonghe District,Jiasui Vil.,36.83,0.3,0.2,0.4,0.2,0,0,65000030-058
New Taipei City,Zhonghe District,Guoguang Vil.,14.05,0.2,0.2,0.2,0.2,0,0,65000030-069
New Taipei City,Zhonghe District,Guohua Vil.,17.14,0.3,0.2,0.4,0.3,0,0,65000030-091
New Taipei City,Zhonghe District,Shounan Vil.,60.69,0.3,0.4,0.5,0.2,0,0,65000030-043
New Taipei City,Zhonghe District,Shoude Vil.,51.95,0.4,0.2,0.4,0.3,0,0,65000030-070
New Taipei City,Zhonghe District,Wainan Vil.,13.44,0.1,0.4,0.5,0.3,0,1,65000030-044
New Taipei City,Zhonghe District,Anhe Vil.,8,0.2,0.3,0.4,0.4,0,0,65000030-021
New Taipei City,Zhonghe District,Anping Vil.,38.37,0.2,0.4,0.1,0.5,0,0,65000030-022
New Taipei City,Zhonghe District,Anle Vil.,67.54,0.1,0.4,0.4,0.4,0,0,65000030-020
New Taipei City,Zhonghe District,Ansui Vil.,7.93,0.3,0.2,0.5,0.3,0,0,65000030-062
New Taipei City,Zhonghe District,Anshun Vil.,16.13,0.1,0.4,0.1,0.4,0,1,65000030-075
New Taipei City,Zhonghe District,Yi'an Vil.,12.03,0.1,0.4,0.4,0.3,0,0,65000030-074
New Taipei City,Zhonghe District,Chongnan Vil.,78.76,0.1,0.2,0.3,0.3,0,1,65000030-039
New Taipei City,Zhonghe District,Pinghe Vil.,53.63,0.2,0.1,0.5,0.3,0,1,65000030-002
New Taipei City,Zhonghe District,Miaomei Vil.,65.32,0.3,0.4,0.2,0.2,0,0,65000030-012
New Taipei City,Zhonghe District,Jianhe Vil.,33.4,0.2,0.4,0.2,0.3,0,0,65000030-006
New Taipei City,Zhonghe District,Fuxing Vil.,6.65,0.4,0.4,0.2,0.3,0,0,65000030-045
New Taipei City,Zhonghe District,Desui Vil.,21.17,0.2,0.4,0.3,0.3,0,0,65000030-067
New Taipei City,Zhonghe District,Dexing Vil.,22.98,0.4,0.1,0.1,0.4,0,0,65000030-073
New Taipei City,Zhonghe District,Zhongxiao Vil.,31.72,0.2,0.4,0.2,0.2,0,0,65000030-038
New Taipei City,Zhonghe District,Wenyuan Vil.,15.73,0.4,0.4,0.2,0.2,0,0,65000030-059
New Taipei City,Zhonghe District,Xinnan Vil.,10.08,0.2,0.2,0.1,0.4,0,0,65000030-025
New Taipei City,Zhonghe District,Mingde Vil.,29.3,0.4,0.3,0.3,0.2,0,0,65000030-071
New Taipei City,Zhonghe District,Mingsui Vil.,18.88,0.4,0.2,0.2,0.3,0,0,65000030-064
New Taipei City,Zhonghe District,Jingnan Vil.,78.63,0.2,0.3,0.2,0.3,0,1,65000030-040
New Taipei City,Zhonghe District,Jing'an Vil.,50.94,0.2,0.3,0.5,0.4,0,1,65000030-050
New Taipei City,Zhonghe District,Jingping Vil.,30.31,0.1,0.3,0.3,0.3,0,1,65000030-047
