V_ID,QoL_PR
63000040-017,80.51
63000040-014,78.16
63000040-005,98.59
63000040-040,82.39
63000040-010,89.78
63000040-015,99.73
63000040-018,33.8
63000040-019,82.06
63000040-022,82.46
63000040-020,72.38
63000040-011,87.3
63000040-036,93.82
63000040-038,70.36
63000040-034,84.61
63000040-021,64.92
63000040-001,66.8
63000040-003,98.72
63000040-002,71.1
63000040-004,98.92
63000040-016,92.41
63000040-028,67.07
63000040-029,77.02
63000040-007,92.81
63000040-009,81.92
63000040-032,92.94
63000040-025,12.37
63000040-026,6.38
63000040-024,10.48
63000040-041,99.93
63000040-008,99.53
63000040-035,90.99
63000050-031,95.77
63000050-023,98.86
63000050-019,99.13
63000050-017,97.38
63000050-002,98.39
63000050-027,85.89
63000050-026,91.26
63000050-015,57.66
63000050-022,99.6
63000050-014,1.75
63000050-016,81.12
63000050-029,77.96
63000050-003,95.97
63000050-030,89.05
63000050-021,99.87
63000050-028,99.8
63000050-008,79.17
63000050-004,91.06
63000050-025,96.51
63000050-001,95.43
63000050-011,14.72
63000050-012,5.44
63000050-005,96.3
63000050-007,69.35
63000050-009,40.79
63000050-010,60.15
63000050-006,89.65
63000050-024,100
63000050-018,86.42
63000050-020,99.06
63000050-013,42
63000020-030,94.22
63000020-031,94.09
63000020-024,62.3
63000020-004,83.13
63000020-025,51.28
63000020-013,72.85
63000020-012,63.98
63000020-032,59.14
63000020-010,39.38
63000020-037,30.71
63000020-017,69.29
63000020-016,86.09
63000020-020,65.46
63000020-027,39.52
63000020-026,93.48
63000020-009,97.24
63000020-019,83.33
63000020-008,93.21
63000020-029,81.52
63000020-007,74.19
63000020-005,93.88
63000020-035,69.49
63000020-028,98.25
63000020-034,72.58
63000020-023,87.57
63000020-022,66.53
63000020-021,34.81
63000020-002,83.06
63000020-014,81.38
63000020-018,88.91
63000020-033,21.1
63000020-003,91.6
63000020-006,83.8
63000020-001,96.44
63000020-015,73.05
63000020-011,48.32
63000020-036,81.85
63000020-041,52.08
63000020-039,63.58
