VILLCODE,COUNTYNAME,TOWNNAME,VILLNAME,COUNTYCODE,TOWNCODE,105green,105water,108green,109green,110green,107green,106green,m109300,m109300s,m109500,m109500s,m108300,m108300s,m108500,m108500s,m107300,m107300s,m107500,m107500s,m106300,m106300s,m106500,m106500s,m105300,m105300s,m105500,m105500s,fire,police,primary,secondary,gym,area
"63000080005",臺北市,文山區,景仁里,"63000","63000080","1","1","1","1","1","1","1","1",,"1","1","1",,"1","1","1",,"1","1","1",,"1","1","1",,"1","1","1","1","1","1",,"253634"
"63000080016",臺北市,文山區,興得里,"63000","63000080","1","0","1","1","1","1","1","1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1","1","1",,"1","623307"
"63000080018",臺北市,文山區,興安里,"63000","63000080","1","0","1","1","1","1","1",,,,,,,,,,,,,,,,,,,,,"1","1","1","1",,"233611"
"63000080017",臺北市,文山區,興業里,"63000","63000080","1","0","1","1","1","1","1",,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,"1","1","1",,"127986"
"63000080007",臺北市,文山區,萬有里,"63000","63000080","1","0","1","1","1","1","0","1",,"1","1","1",,"1","1","1",,"1","1","1",,"1","1","1",,"1","1","1","1","1","1",,"162689"
"63000020016",臺北市,信義區,四育里,"63000","63000020","0","0","0","0","0","1","0","1",,"1","1","1",,"1","1","1",,"1","1","1",,"1","1","1",,"1","1","1","1","1","1","1","164959"
"63000020014",臺北市,信義區,永吉里,"63000","63000020","0","0","0","0","0","1","0","1",,"1","1","1",,"1","1","1",,"1","1","1",,"1","1","1",,"1","1","1","1","1","1","1","120295"
"63000050023",臺北市,中正區,光復里,"63000","63000050","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","310918"
"63000090015",臺北市,南港區,聯成里,"63000","63000090","1","0","1","1","1","1","0","1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1","1","1","1","1","123981"
"63000090010",臺北市,南港區,合成里,"63000","63000090","0","0","0","0","0","1","1","1",,"1","1","1",,"1","1","1",,"1","1","1",,"1","1","1",,"1","1","1","1","1","1","1","290293"
