,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,人口數,性比例,人口密度,扶養比,扶幼比,扶老比,老化指數,0-14歲人口數,15-64歲人口數,65歲以上人口數,15歲以上博士人口數,15歲以上碩士人口數,15歲以上大學院校人口數,15歲以上專科人口數,15歲以上高中職人口數,15歲以上國中初職人口數,15歲以上小學人口數,15歲以上自修人口數,15歲以上不識字人口數,15歲以上未婚人口數,15歲以上有偶人口數,15歲以上離婚人口數,自然增加人數,社會增加人數,總戶數,綜合所得總額,綜合所得平均數,綜合所得中位數,綜合所得第一分位數,綜合所得第三分位數,綜合所得標準差,各類所得金額合計,各類所得金額薪資所得,106green,m106300,m106300s,m106500,m106500s,fire,police,primary,secondary,gym,area,名稱,multiHospital,1
新北市三重區瑞德里,新北市,65000020,三重區,65000020-081,瑞德里,2538,97.05,44055.62,39.22,16.68,22.55,135.2,304,1823,411,1,73,497,237,666,393,325,13,29,1143,1003,230,0,-19,925,611786.0,694.0,534.0,340.0,882.0,568.96,419392.0,333278.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,57070.0,1.0,0.0,0.0
新北市三重區田中里,新北市,65000020,三重區,65000020-017,田中里,6700,96.42,64706.17,35.93,19.4,16.53,85.25,956,4929,815,17,303,1592,649,1659,851,623,16,34,3121,2860,444,13,-47,2337,605185.0,734.0,550.0,360.0,906.0,763.71,1559624.0,1236458.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,110670.0,1.0,0.0,0.0
新北市三重區田安里,新北市,65000020,三重區,65000020-018,田安里,6505,92.68,51664.71,31.44,15.15,16.29,107.47,750,4949,806,24,317,1412,701,1805,869,568,11,48,2916,2768,478,22,-90,2428,368617.0,636.0,509.0,317.0,799.0,559.21,1568969.0,1265715.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,123744.0,1.0,0.0,0.0
新北市三重區田心里,新北市,65000020,三重區,65000020-015,田心里,4245,99.58,36173.22,33.07,12.73,20.34,159.85,406,3190,649,10,160,944,415,1124,650,492,2,42,1913,1766,326,7,-30,1605,821724.0,701.0,533.0,357.0,855.0,578.89,860829.0,706365.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,115739.0,1.0,0.0,0.0
新北市三重區碧華里,新北市,65000020,三重區,65000020-108,碧華里,7843,92.14,27556.81,28.72,16.95,11.77,69.41,1033,6093,717,46,656,2184,943,1804,702,435,13,27,3371,3716,493,53,275,3524,1123691.0,741.0,543.0,350.0,889.0,709.92,3301221.0,2551340.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,296362.0,0.0,0.0,0.0
新北市三重區福利里,新北市,65000020,三重區,65000020-038,福利里,2322,85.02,11392.91,25.04,11.85,13.19,111.36,220,1857,245,12,133,628,244,662,259,148,4,12,1054,982,205,2,-119,1028,1226852.0,944.0,640.0,378.0,1222.0,930.34,717764.0,589424.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,48828.0,1.0,2.0,0.0
新北市三重區福安里,新北市,65000020,三重區,65000020-073,福安里,3178,98.01,47560.61,31.43,13.28,18.16,136.76,321,2418,439,5,124,726,340,846,454,326,4,32,1410,1337,251,-3,-25,1272,380605.0,649.0,494.0,333.0,811.0,554.41,752139.0,620134.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,62804.0,1.0,2.0,1.0
新北市三重區福德里,新北市,65000020,三重區,65000020-111,福德里,4135,90.11,39321.41,33.04,16.25,16.8,103.37,505,3108,522,13,205,958,464,1116,485,357,5,27,1896,1699,355,8,-10,1710,1024345.0,735.0,556.0,350.0,892.0,654.37,1073878.0,807853.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,105765.0,1.0,0.0,0.0
新北市三重區福星里,新北市,65000020,三重區,65000020-037,福星里,1133,90.74,55667.47,30.53,9.22,21.31,231.25,80,868,185,9,78,281,102,334,128,117,1,3,508,454,97,-1,72,521,365727.0,776.0,520.0,336.0,887.0,878.76,291523.0,245018.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,21114.0,1.0,2.0,0.0
新北市三重區福樂里,新北市,65000020,三重區,65000020-117,福樂里,3937,98.34,52802.4,35.71,17.58,18.13,103.14,510,2901,526,10,148,758,399,993,622,458,16,23,1797,1609,327,-1,-52,1535,721404.0,699.0,535.0,347.0,886.0,564.38,800951.0,612325.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,73212.0,0.0,0.0,0.0
新北市三重區福民里,新北市,65000020,三重區,65000020-009,福民里,3688,95.86,55336.32,36.8,18.06,18.73,103.7,487,2696,505,10,151,833,354,958,495,357,5,38,1685,1534,274,15,-33,1365,1147064.0,750.0,573.0,359.0,933.0,658.69,751883.0,582959.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,66812.0,1.0,0.0,0.0
